Temps (s) 	 Thermocouple (°C) 	 Lumière 	 Pression (Pa)
0.43	21.02	23.00	97767.86
1.48	21.02	90.00	97544.64
2.53	21.02	94.00	97544.64
3.58	21.02	96.00	97767.86
4.62	21.02	97.00	97767.86
5.67	21.02	98.00	97767.86
6.72	21.02	98.00	97767.86
7.76	21.02	98.00	97767.86
8.81	21.02	98.00	97767.86
9.86	21.02	98.00	97767.86
10.91	21.02	97.00	97767.86
11.96	21.02	98.00	97544.64
13.00	21.02	98.00	97544.64
14.05	21.02	98.00	97544.64
15.10	21.02	98.00	97767.86
16.15	21.02	98.00	97544.64
17.20	21.02	99.00	97767.86
18.25	21.02	100.00	97767.86
19.30	21.02	99.00	97767.86
20.35	21.02	99.00	97544.64
21.39	21.02	99.00	97544.64
22.44	21.02	99.00	97767.86
23.49	21.02	95.00	97544.64
24.54	21.02	96.00	97544.64
25.59	21.02	96.00	97544.64
26.64	21.02	95.00	97767.86
27.69	21.02	94.00	97544.64
28.73	21.02	94.00	97544.64
29.78	21.02	94.00	97544.64
30.83	21.02	94.00	97544.64
31.88	21.02	94.00	97767.86
32.93	21.02	96.00	97544.64
33.98	21.02	96.00	97767.86
35.03	21.02	96.00	97544.64
36.08	21.02	96.00	97767.86
37.13	21.02	96.00	97767.86
38.18	21.02	96.00	97767.86
39.22	21.02	96.00	97544.64
40.27	21.02	96.00	97767.86
41.32	21.02	96.00	97767.86
42.37	21.02	96.00	97767.86
43.42	21.02	96.00	97767.86
44.47	21.02	97.00	97544.64
45.51	21.02	97.00	97767.86
46.56	21.02	97.00	97767.86
47.61	21.02	97.00	97544.64
48.66	21.02	97.00	97544.64
49.71	21.02	97.00	97544.64
50.76	21.02	97.00	97544.64
51.81	21.02	97.00	97767.86
52.85	21.02	97.00	97544.64
53.90	21.02	96.00	97544.64
54.95	21.02	96.00	97767.86
56.00	21.02	96.00	97544.64
57.05	21.02	97.00	97767.86
58.10	21.02	97.00	97767.86
59.15	21.02	97.00	97544.64
60.20	21.02	96.00	97544.64
61.25	21.02	96.00	97767.86
62.29	21.02	96.00	97767.86
63.34	21.02	96.00	97544.64
64.39	21.02	96.00	97767.86
